emoji,hex,r,g,b,l,a_val,b_val
💾,1F4BE,145,155,160,63.41,-2.69,-3.95
💿,1F4BF,185,218,223,84.87,-9.93,-5.91
📀,1F4C0,242,208,133,84.84,2.36,41.34
📁,1F4C1,252,216,102,87.33,0.03,59.41
📂,1F4C2,249,200,92,82.99,6.08,59.24
📃,1F4C3,212,233,246,91.16,-4.47,-8.65
📄,1F4C4,224,238,247,93.38,-3.12,-5.85
📅,1F4C5,224,164,160,72.88,21.4,10.95
📆,1F4C6,213,162,158,71.05,18.44,9.08
📇,1F4C7,165,192,199,75.85,-7.4,-6.71
📈,1F4C8,237,225,226,90.54,3.99,0.81
📉,1F4C9,219,232,239,91.17,-2.98,-5.03
📊,1F4CA,206,218,220,86.23,-3.74,-2.59
📋,1F4CB,214,198,182,80.76,2.95,9.89
📌,1F4CC,232,83,69,55.82,56.84,39.15
📍,1F4CD,224,91,81,56.02,50.91,32.52
📎,1F4CE,110,163,179,63.9,-12.99,-14.13
📏,1F4CF,163,202,208,78.73,-11.31,-7.45
📐,1F4D0,161,201,208,78.29,-11.48,-7.78
📑,1F4D1,219,229,232,90.29,-2.76,-2.73
📒,1F4D2,233,197,71,80.69,-0.4,65.22
📓,1F4D3,119,122,123,50.97,-0.91,-0.9
📔,1F4D4,218,172,105,73.12,9.23,40.56
📕,1F4D5,206,87,80,52.36,46.53,27.62
📖,1F4D6,214,204,206,82.96,3.64,0.31
📗,1F4D7,144,181,110,69.41,-25.19,32.14
📘,1F4D8,40,138,199,54.85,-6.58,-39.3
📙,1F4D9,214,147,55,66.08,17.01,56.46
📚,1F4DA,160,132,133,57.62,11.04,3.16
📛,1F4DB,241,113,105,62.96,48.3,28.42
📜,1F4DC,242,201,147,83.18,7.35,32.36
📝,1F4DD,226,223,207,88.66,-1.93,8.32
📞,1F4DE,78,78,78,33.31,-0.0,0.0
📟,1F4DF,77,93,56,37.4,-13.47,19.31
📠,1F4E0,106,108,105,45.44,-1.56,1.59
📡,1F4E1,170,201,210,78.91,-8.1,-7.88
📢,1F4E2,181,150,150,64.91,11.54,4.35
📣,1F4E3,185,109,103,54.24,29.33,16.45
📤,1F4E4,193,116,74,56.25,26.42,35.77
📥,1F4E5,193,116,74,56.25,26.42,35.77
📦,1F4E6,185,137,90,60.71,12.98,32.3
📧,1F4E7,192,224,248,87.71,-5.71,-14.91
📨,1F4E8,207,232,248,90.76,-5.3,-10.52
📩,1F4E9,217,223,234,88.65,0.34,-6.15
📪,1F4EA,57,121,194,49.93,4.01,-44.23
📫,1F4EB,56,120,193,49.52,4.39,-44.6
📬,1F4EC,100,139,187,56.95,-0.77,-28.89
📭,1F4ED,75,106,149,44.15,1.15,-26.84
📮,1F4EE,224,100,95,57.96,47.95,27.19
📯,1F4EF,211,132,26,62.02,23.41,62.84
📰,1F4F0,208,208,208,83.35,-0.0,0.0
📱,1F4F1,45,51,50,20.63,-2.72,-0.13
📲,1F4F2,63,69,69,28.83,-2.78,-0.93
📳,1F4F3,72,79,80,33.11,-2.83,-1.34
📴,1F4F4,253,165,40,74.79,23.88,71.43
📵,1F4F5,144,78,76,41.03,27.21,13.49
📶,1F4F6,253,168,48,75.55,22.35,69.44
📷,1F4F7,97,110,114,45.59,-3.99,-3.66
📸,1F4F8,109,112,99,46.51,-3.58,6.57
📹,1F4F9,84,109,120,44.4,-6.22,-9.5
📺,1F4FA,65,109,121,43.48,-11.8,-11.37
📻,1F4FB,205,148,48,65.23,12.25,58.02
📼,1F4FC,117,109,109,46.84,2.78,1.08
📽,1F4FD,108,120,125,49.68,-3.35,-4.28
📿,1F4FF,203,105,60,55.12,35.62,42.29
🔀,1F500,253,177,70,77.62,18.51,63.08
🔁,1F501,253,181,80,78.61,16.86,59.79
🔂,1F502,253,180,78,78.44,17.13,60.36
🔃,1F503,163,190,202,75.44,-6.71,-8.89
🔄,1F504,164,191,202,75.63,-6.63,-8.79
🔅,1F505,253,155,27,72.41,28.54,73.06
🔆,1F506,253,153,25,72.09,29.27,73.12
🔇,1F507,155,89,87,45.3,26.66,13.01
🔈,1F508,107,136,150,55.11,-7.13,-10.66
🔉,1F509,110,139,152,56.01,-6.99,-10.43
🔊,1F50A,121,148,160,59.58,-6.42,-9.49
🔋,1F50B,162,212,106,79.53,-33.76,46.82
🔌,1F50C,111,111,111,46.91,-0.0,0.0
🔍,1F50D,142,174,188,69.08,-7.5,-10.99
🔎,1F50E,142,174,188,69.07,-7.5,-11.0
🔏,1F50F,164,146,74,60.72,-2.49,40.35
🔐,1F510,212,175,54,72.7,1.42,63.18
🔑,1F511,238,189,40,78.86,4.99,74.19
🔒,1F512,202,171,65,71.03,-0.52,56.84
🔓,1F513,204,171,61,71.08,0.1,58.41
🔔,1F514,226,181,51,75.65,4.15,67.35
🔕,1F515,159,84,57,44.22,28.25,29.6
🔖,1F516,236,76,60,55.5,60.41,43.8
🔗,1F517,129,176,193,69.14,-11.48,-13.53
🔘,1F518,144,146,146,60.32,-0.47,-0.36
🔙,1F519,156,185,198,73.58,-7.2,-9.67
🔚,1F51A,156,185,198,73.48,-7.22,-9.71
🔛,1F51B,159,188,200,74.49,-6.96,-9.29
🔜,1F51C,159,187,200,74.32,-7.01,-9.36
🔝,1F51D,151,182,196,72.32,-7.52,-10.19
🔞,1F51E,151,85,83,43.82,26.85,13.17
🔟,1F51F,140,174,187,68.99,-8.3,-10.59
🔠,1F520,147,180,194,71.32,-7.83,-10.71
🔡,1F521,148,180,194,71.31,-7.77,-10.61
🔢,1F522,146,179,193,70.86,-7.89,-10.8
🔣,1F523,146,179,193,71.02,-7.85,-10.74
🔤,1F524,146,178,193,70.83,-7.89,-10.82
🔥,1F525,254,148,50,71.13,33.01,64.85
🔦,1F526,88,144,141,55.93,-19.04,-4.35
🔧,1F527,125,172,189,67.77,-11.47,-13.7
🔨,1F528,139,133,120,55.64,0.17,7.99
🔩,1F529,131,183,196,71.32,-13.63,-12.19
🔪,1F52A,179,180,181,73.31,-0.3,-0.73
🔫,1F52B,244,155,24,71.48,24.64,72.4
🔬,1F52C,144,175,186,69.53,-7.89,-9.19
🔭,1F52D,136,155,162,62.7,-4.99,-5.75
🔮,1F52E,155,126,188,57.71,23.28,-28.3
🔯,1F52F,183,101,198,55.44,47.82,-37.0
🔰,1F530,147,198,110,74.7,-32.41,39.03
🔱,1F531,248,187,58,79.56,10.42,69.49
🔲,1F532,135,135,135,56.29,-0.0,0.0
🔳,1F533,154,154,154,63.41,-0.0,0.0
🔴,1F534,239,68,57,54.89,64.44,45.33
🔵,1F535,26,114,204,47.71,9.06,-53.8
🔶,1F536,254,150,4,71.51,31.2,76.2
🔷,1F537,37,148,239,59.72,1.94,-53.9
🔸,1F538,253,148,4,70.86,32.19,75.7
🔹,1F539,37,145,235,58.65,2.51,-53.78
🔺,1F53A,238,71,61,55.21,62.95,43.22
🔻,1F53B,238,72,61,55.23,62.97,43.25
🔼,1F53C,253,163,36,74.43,24.65,72.3
🔽,1F53D,253,163,36,74.45,24.59,72.24
🕉,1F549,184,103,199,56.1,47.02,-36.43
🕊,1F54A,205,206,197,82.34,-1.95,4.24
🕋,1F54B,112,106,95,45.21,0.16,7.24
🕌,1F54C,235,187,106,78.62,7.91,47.4
🕍,1F54D,174,138,116,60.41,10.28,17.1
🕎,1F54E,186,110,201,57.8,44.87,-34.95
🕐,1F550,213,226,229,89.03,-3.51,-3.12
🕑,1F551,213,226,229,89.0,-3.51,-3.12
🕒,1F552,213,226,229,89.02,-3.51,-3.12
🕓,1F553,213,226,229,89.01,-3.51,-3.12
🕔,1F554,213,226,229,89.01,-3.51,-3.12
🕕,1F555,213,226,229,89.01,-3.51,-3.12
🕖,1F556,213,226,229,89.01,-3.51,-3.12
🕗,1F557,213,226,229,89.01,-3.51,-3.12
🕘,1F558,213,226,229,89.01,-3.51,-3.12
🕙,1F559,213,226,229,89.01,-3.51,-3.12
🕚,1F55A,213,226,229,88.96,-3.5,-3.11
🕛,1F55B,214,227,230,89.39,-3.56,-3.17
🕜,1F55C,213,226,229,89.01,-3.51,-3.12
🕝,1F55D,213,226,229,89.01,-3.51,-3.12
🕞,1F55E,213,226,229,89.0,-3.51,-3.12
🕟,1F55F,213,226,229,89.02,-3.51,-3.12
🕠,1F560,214,226,230,89.08,-3.52,-3.13
🕡,1F561,214,226,230,89.08,-3.52,-3.13
🕢,1F562,213,226,229,89.03,-3.51,-3.12
🕣,1F563,213,226,229,89.01,-3.51,-3.12
🕤,1F564,213,226,229,89.01,-3.51,-3.12
🕥,1F565,213,226,229,89.01,-3.51,-3.12
🕦,1F566,213,226,229,89.01,-3.51,-3.12
🕧,1F567,213,226,229,89.01,-3.51,-3.12
🕯,1F56F,224,214,182,85.56,-1.72,17.07
🕰,1F570,179,139,98,60.58,9.86,27.62
🕳,1F573,88,88,88,37.32,-0.0,0.0
🕴,1F574,100,91,78,39.28,0.99,9.32
🕵,1F575,154,136,93,57.26,0.47,25.48
🕶,1F576,47,48,49,19.85,-0.45,-0.57
🕷,1F577,111,113,115,47.58,-0.35,-1.35
🕸,1F578,94,99,103,41.66,-1.06,-2.93
🕹,1F579,138,103,97,46.9,13.04,8.57
🕺,1F57A,162,204,186,78.75,-17.61,4.44
🖇,1F587,120,176,192,68.71,-14.4,-13.9
🖊,1F58A,60,123,189,50.32,1.65,-40.75
🖋,1F58B,108,105,83,44.25,-3.1,13.3
🖌,1F58C,112,131,140,53.65,-4.82,-6.95
🖍,1F58D,209,71,69,50.15,54.1,31.59
🖐,1F590,245,184,33,78.49,10.16,75.95
🖕,1F595,245,175,20,76.16,14.7,76.7
🖖,1F596,245,184,34,78.22,10.17,75.55
🖤,1F5A4,72,72,72,30.55,-0.0,0.0
🖥,1F5A5,107,126,133,51.6,-5.26,-5.96
🖨,1F5A8,152,164,169,66.49,-2.94,-3.93
🖱,1F5B1,219,219,219,87.33,0.01,0.0
🖲,1F5B2,108,80,78,36.9,11.32,5.61
🖼,1F5BC,193,176,112,71.86,-2.78,35.11
🗂,1F5C2,242,208,97,84.38,-0.64,58.07
🗃,1F5C3,116,117,95,48.47,-4.47,11.8
🗄,1F5C4,77,96,105,39.39,-4.72,-7.44
🗑,1F5D1,131,180,197,70.64,-12.3,-13.73
🗒,1F5D2,208,231,239,90.31,-6.13,-6.22
🗓,1F5D3,190,185,199,75.82,4.43,-6.58
🗜,1F5DC,113,166,183,64.96,-13.01,-14.28
🗝,1F5DD,132,162,173,64.75,-7.75,-9.43
🗞,1F5DE,207,205,204,82.56,0.41,0.84
🗡,1F5E1,162,164,145,66.75,-4.41,9.81
🗣,1F5E3,30,120,210,50.03,7.13,-53.02
🗨,1F5E8,200,200,200,80.65,-0.0,0.0
🗯,1F5EF,188,188,188,76.37,-0.0,0.0
🗳,1F5F3,37,122,199,50.11,2.79,-47.11
🗺,1F5FA,123,190,205,73.16,-17.35,-14.14
🗻,1F5FB,167,188,217,75.6,-0.72,-17.09
🗼,1F5FC,218,81,51,53.03,52.05,45.01
🗽,1F5FD,109,174,153,66.44,-25.6,4.13
🗾,1F5FE,46,147,238,59.49,3.0,-53.69
🗿,1F5FF,143,130,130,55.6,4.53,1.9
🚀,1F680,167,121,113,55.13,17.24,11.36
🚁,1F681,209,170,57,71.29,2.74,60.67
🚂,1F682,134,99,83,45.24,11.57,14.91
🚃,1F683,167,182,137,71.86,-13.27,21.14
🚄,1F684,120,168,194,66.37,-9.1,-18.5
🚅,1F685,149,181,198,71.83,-6.78,-12.2
🚆,1F686,125,155,173,62.29,-5.95,-12.84
🚇,1F687,99,88,92,38.61,5.29,-0.47
🚈,1F688,182,193,199,77.49,-2.79,-4.29
🚉,1F689,171,171,142,69.22,-4.68,14.69
🚊,1F68A,180,180,148,72.6,-5.36,16.44
🚋,1F68B,192,186,139,74.8,-5.14,24.32
🚌,1F68C,157,156,139,64.04,-2.79,8.99
🚍,1F68D,165,160,139,65.73,-1.81,11.42
🚎,1F68E,147,167,143,66.37,-11.61,10.21
🚏,1F68F,159,182,184,72.41,-7.54,-3.47
🚐,1F690,177,183,186,74.01,-1.46,-2.04
🚑,1F691,182,164,173,69.03,8.36,-2.13
🚒,1F692,209,94,92,54.36,45.52,23.38
🚓,1F693,117,113,112,47.93,1.7,0.93
🚔,1F694,128,129,129,53.81,-0.55,-0.06
🚕,1F695,189,174,90,70.88,-5.82,44.75
🚖,1F696,187,170,93,69.53,-4.36,41.74
🚗,1F697,187,73,78,46.74,46.39,20.88
🚘,1F698,194,91,98,51.6,41.77,16.11
🚙,1F699,86,138,187,55.87,-3.08,-30.84
🚚,1F69A,203,146,97,65.04,15.74,34.43
🚛,1F69B,182,147,139,63.88,11.94,8.99
🚜,1F69C,110,129,99,51.71,-13.13,14.1
🚝,1F69D,166,159,167,66.39,3.91,-3.32
🚞,1F69E,159,179,153,70.88,-12.25,11.27
🚟,1F69F,142,168,112,65.7,-18.87,25.86
🚠,1F6A0,176,143,140,62.18,12.16,5.82
🚡,1F6A1,171,179,148,71.44,-8.08,14.7
🚢,1F6A2,120,137,149,56.09,-3.59,-8.42
🚣,1F6A3,198,140,108,63.26,18.01,26.1
🚤,1F6A4,222,117,47,60.44,36.19,54.7
🚥,1F6A5,101,91,69,39.13,0.2,14.34
🚦,1F6A6,101,91,69,39.13,0.2,14.34
🚧,1F6A7,164,136,48,57.86,0.6,49.47
🚨,1F6A8,218,125,118,62.33,35.13,19.62
🚩,1F6A9,236,78,76,55.76,60.49,35.56
🚪,1F6AA,175,102,69,50.69,25.99,31.09
🚫,1F6AB,229,64,57,52.66,62.51,42.39
🚬,1F6AC,203,192,182,78.33,2.11,6.39
🚭,1F6AD,140,78,76,40.5,25.77,12.62
🚮,1F6AE,78,129,222,54.51,12.45,-52.58
🚯,1F6AF,148,82,80,42.66,26.99,13.29
🚰,1F6B0,81,131,222,55.26,11.75,-51.48
🚱,1F6B1,153,88,86,44.89,26.7,13.05
🚲,1F6B2,130,150,153,60.55,-6.35,-4.09
🚳,1F6B3,147,82,80,42.43,27.03,13.32
🚴,1F6B4,159,141,109,59.46,1.66,19.51
🚵,1F6B5,167,159,149,65.85,1.36,6.42
🚶,1F6B6,158,121,74,53.46,8.21,30.95
🚷,1F6B7,145,79,77,41.44,27.16,13.44
🚸,1F6B8,208,166,46,70.13,3.77,63.54
🚹,1F6B9,63,117,219,50.62,16.16,-57.49
🚺,1F6BA,66,120,220,51.45,15.31,-56.45
🚻,1F6BB,101,144,225,60.05,8.4,-45.57
🚼,1F6BC,86,134,223,56.54,10.81,-50.02
🚽,1F6BD,202,219,227,86.39,-4.25,-5.62
🚾,1F6BE,65,118,219,50.88,15.87,-56.85
🚿,1F6BF,142,175,190,69.65,-7.74,-11.21
🛀,1F6C0,195,207,204,82.14,-4.56,-0.16
🛁,1F6C1,201,218,224,85.86,-4.21,-5.05
🛂,1F6C2,95,140,223,58.64,9.04,-46.78
🛃,1F6C3,93,139,223,58.07,9.43,-47.52
🛄,1F6C4,116,155,226,63.76,6.03,-40.18
🛅,1F6C5,107,148,225,61.42,7.27,-43.18
🛋,1F6CB,74,161,188,62.07,-18.08,-21.72
🛌,1F6CC,109,146,171,58.63,-6.21,-17.39
🛍,1F6CD,140,162,146,64.5,-11.08,5.75
🛎,1F6CE,209,157,49,68.03,9.11,60.51
🛏,1F6CF,127,148,165,60.27,-3.73,-11.27
🛐,1F6D0,181,97,196,54.34,49.02,-37.89
🛑,1F6D1,242,69,56,55.53,65.09,46.33
🛒,1F6D2,129,166,182,66.07,-9.16,-11.97
🛕,1F6D5,203,98,55,53.6,38.84,43.1
🛖,1F6D6,183,123,93,57.15,19.46,25.95
🛗,1F6D7,104,146,224,60.8,7.62,-43.98
🛘,1F6D8,135,143,144,58.81,-2.43,-1.79
🛜,1F6DC,253,165,40,74.82,23.84,71.3
🛝,1F6DD,113,172,186,66.99,-15.54,-13.18
🛞,1F6DE,111,111,111,46.78,-0.09,-0.23
🛟,1F6DF,215,113,83,58.73,37.33,34.56
🛠,1F6E0,131,150,151,60.79,-6.49,-2.91
🛡,1F6E1,165,193,201,76.28,-7.48,-7.23
🛢,1F6E2,68,141,191,56.15,-7.4,-32.5
🛣,1F6E3,124,160,125,62.43,-19.43,14.36
🛤,1F6E4,147,165,111,65.19,-16.11,26.16
🛥,1F6E5,160,185,199,73.76,-5.8,-9.63
🛩,1F6E9,88,178,198,68.0,-21.13,-18.58
🛫,1F6EB,122,145,160,58.76,-4.62,-10.74
🛬,1F6EC,119,145,163,58.84,-4.69,-12.59
🛰,1F6F0,125,148,129,59.15,-11.89,7.16
🛳,1F6F3,115,163,190,64.55,-8.75,-19.31
🛴,1F6F4,84,131,176,53.34,-3.24,-28.34
🛵,1F6F5,179,141,55,60.82,4.9,49.9
🛶,1F6F6,190,120,66,56.78,22.38,40.12
🛷,1F6F7,217,104,68,57.12,41.71,40.8
🛸,1F6F8,134,177,172,69.08,-15.39,-2.02
🛹,1F6F9,110,85,77,38.41,8.86,8.59
🛺,1F6FA,123,148,57,57.62,-22.84,43.83
🛻,1F6FB,199,87,67,51.11,43.13,33.5
🛼,1F6FC,102,156,149,60.57,-19.64,-1.92
🟠,1F7E0,254,150,3,71.53,31.23,76.29
🟡,1F7E1,253,201,46,83.33,5.39,76.84
🟢,1F7E2,123,178,67,66.84,-36.12,49.54
🟣,1F7E3,169,70,187,47.39,57.16,-43.58
🟤,1F7E4,180,108,84,53.18,26.13,25.8
🟥,1F7E5,240,67,55,54.82,64.84,45.92
🟦,1F7E6,25,114,205,47.69,9.21,-54.06
🟧,1F7E7,254,150,2,71.47,31.41,76.44
🟨,1F7E8,254,201,46,83.31,5.53,76.94
🟩,1F7E9,123,178,66,66.73,-36.27,49.77
🟪,1F7EA,169,69,187,47.24,57.4,-43.7
🟫,1F7EB,180,108,83,53.04,26.25,25.93
🟰,1F7F0,95,97,100,40.95,0.11,-2.34
🤌,1F90C,243,181,32,77.38,11.14,75.26
🤍,1F90D,222,222,222,88.33,-0.0,0.0
🤎,1F90E,181,109,85,53.56,26.06,25.7
🤏,1F90F,242,179,31,76.78,11.77,75.0
🤐,1F910,221,181,48,75.28,1.87,67.95
🤑,1F911,188,176,34,70.7,-10.04,66.92
🤒,1F912,231,180,48,76.05,6.62,69.18
🤓,1F913,189,149,44,63.81,4.84,57.51
🤔,1F914,233,189,44,78.39,2.62,72.53
🤕,1F915,228,198,99,80.64,-1.22,52.67
🤖,1F916,160,154,161,64.31,3.47,-2.95
🤗,1F917,233,184,50,77.19,5.19,69.56
🤘,1F918,241,177,31,76.38,12.0,74.62
🤙,1F919,246,184,31,78.49,10.67,76.47
🤚,1F91A,245,185,34,78.63,9.86,75.86
🤛,1F91B,246,183,30,78.09,11.0,76.21
🤜,1F91C,245,183,30,78.08,11.01,76.19
🤝,1F91D,245,185,23,78.57,9.69,78.06
🤞,1F91E,239,173,29,75.17,13.18,73.97
🤟,1F91F,244,181,31,77.64,11.04,75.55
🤠,1F920,175,134,56,58.38,7.26,46.5
🤡,1F921,230,165,150,73.64,21.98,17.5
🤢,1F922,175,189,75,73.58,-20.56,54.32
🤣,1F923,188,170,77,69.35,-4.81,49.05
🤤,1F924,221,185,48,76.19,0.02,68.71
🤥,1F925,235,189,39,78.69,3.2,74.03
🤦,1F926,186,122,40,56.5,18.18,52.2
🤧,1F927,222,189,85,77.74,-0.05,55.86
🤨,1F928,230,186,40,77.38,2.93,72.65
🤩,1F929,229,153,51,69.23,20.45,61.6
🤪,1F92A,227,167,75,72.42,13.21,54.52
🤫,1F92B,239,188,40,78.75,5.71,74.02
🤬,1F92C,188,112,38,54.52,24.32,51.14
🤭,1F92D,240,190,53,79.36,5.39,70.73
🤮,1F92E,195,177,53,71.93,-7.18,62.25
🤯,1F92F,208,188,137,76.8,-0.27,28.33
🤰,1F930,159,71,124,43.32,42.71,-12.48
🤱,1F931,157,125,116,55.22,11.1,9.39
🤲,1F932,245,185,34,78.64,9.74,75.76
🤳,1F933,224,153,57,68.72,18.26,58.35
🤴,1F934,219,176,50,73.68,3.89,65.79
🤵,1F935,146,116,59,50.62,4.61,35.28
🤶,1F936,223,146,91,67.34,23.42,40.8
🤷,1F937,208,121,23,59.18,27.67,61.5
🤸,1F938,210,155,47,67.53,11.17,60.66
🤹,1F939,171,120,69,54.54,14.27,35.45
🤺,1F93A,180,180,180,73.35,-0.04,-0.21
🤼,1F93C,188,158,69,66.27,0.88,49.67
🤽,1F93D,193,171,103,70.44,-1.28,37.75
🤾,1F93E,194,123,41,57.73,21.14,53.33
🤿,1F93F,94,150,195,60.13,-5.71,-28.89
🥀,1F940,154,76,44,41.6,29.64,33.65
🥁,1F941,211,168,153,72.29,13.29,13.92
🥂,1F942,239,219,169,87.77,-0.45,26.82
🥃,1F943,215,188,158,77.72,5.08,18.43
🥄,1F944,199,199,199,80.29,-0.0,0.0
🥅,1F945,201,114,119,57.8,34.74,12.21
🥇,1F947,177,170,105,68.8,-7.09,34.55
🥈,1F948,140,174,208,69.84,-3.8,-20.56
🥉,1F949,168,136,109,59.03,8.02,19.21
🥊,1F94A,215,23,37,45.95,68.63,45.44
🥋,1F94B,206,206,206,82.75,-0.01,-0.02
🥌,1F94C,185,102,106,52.86,33.35,12.65
🥍,1F94D,158,124,107,54.83,10.61,14.45
🥎,1F94E,206,206,5,80.27,-18.43,79.91
🥏,1F94F,47,191,237,72.2,-21.67,-33.13
🥐,1F950,235,154,50,70.24,21.89,63.03
🥑,1F951,198,188,107,75.51,-7.91,42.01
🥒,1F952,69,142,50,52.71,-40.61,40.69
🥓,1F953,233,118,78,62.25,41.49,41.91
🥔,1F954,167,122,91,54.88,13.96,23.71
🥕,1F955,173,138,29,59.03,3.42,57.73
🥖,1F956,236,166,68,73.35,17.12,58.89
🥗,1F957,189,194,140,76.78,-10.61,26.54
🥘,1F958,168,126,72,55.81,10.23,35.39
🥙,1F959,217,179,131,75.18,7.19,29.49
🥚,1F95A,242,163,95,73.53,22.85,46.85
🥛,1F95B,232,229,212,90.84,-1.73,8.57
🥜,1F95C,235,159,43,71.3,19.49,66.66
🥝,1F95D,160,161,54,64.48,-14.16,53.46
🥞,1F95E,235,167,81,73.56,16.59,53.15
🥟,1F95F,252,217,162,88.46,4.63,31.74
🥠,1F960,241,187,102,79.26,9.92,50.26
🥡,1F961,209,194,194,79.53,5.29,1.99
🥢,1F962,178,31,51,39.07,57.37,27.82
🥣,1F963,106,178,247,70.54,-2.93,-41.03
🥤,1F964,163,189,198,75.11,-7.21,-7.27
🥥,1F965,161,137,125,58.87,7.58,9.47
🥦,1F966,103,154,38,58.12,-35.0,51.93
🥧,1F967,225,172,101,73.87,11.48,43.56
🥨,1F968,220,129,36,62.46,28.61,60.73
🥩,1F969,238,103,108,60.63,52.45,23.27
🥪,1F96A,231,175,99,75.06,12.31,46.13
🥫,1F96B,216,181,90,74.95,1.94,50.3
🥬,1F96C,160,192,106,73.63,-24.89,39.84
🥭,1F96D,206,142,43,63.8,16.08,58.82
🥮,1F96E,211,119,31,59.11,30.42,59.21
🥯,1F96F,238,179,92,76.81,12.29,51.75
🥰,1F970,229,144,47,67.13,24.84,61.25
🥱,1F971,233,188,48,78.32,3.19,71.06
🥲,1F972,224,189,52,77.69,-0.93,68.84
🥳,1F973,221,170,65,72.6,8.65,58.93
🥴,1F974,229,181,43,75.99,5.2,70.41
🥵,1F975,200,120,71,58.33,26.79,39.92
🥶,1F976,105,195,237,75.01,-15.5,-28.64
🥷,1F977,99,88,59,37.87,-0.58,18.39
🥸,1F978,170,154,78,63.62,-4.29,41.59
🥹,1F979,215,182,60,74.88,-0.53,63.06
🥺,1F97A,224,183,56,76.11,2.51,66.14
🥻,1F97B,109,165,129,63.06,-26.09,12.94
🥼,1F97C,223,236,242,92.48,-2.94,-4.63
🥽,1F97D,146,172,179,68.56,-7.4,-6.66
🥾,1F97E,144,94,49,44.45,16.21,33.51
🥿,1F97F,26,123,164,48.23,-11.8,-29.62
🦀,1F980,245,88,5,58.43,57.43,67.4
🦁,1F981,176,129,62,57.44,10.69,42.85
🦂,1F982,220,150,87,67.92,19.83,43.7
🦃,1F983,141,107,97,48.43,11.99,10.87
🦄,1F984,221,165,187,73.56,24.1,-3.23
🦅,1F985,133,104,85,46.44,8.55,15.47
🦆,1F986,137,124,85,52.13,-0.99,23.18
🦇,1F987,126,90,78,41.68,13.1,13.06
🦈,1F988,180,177,177,72.33,1.3,0.48
🦉,1F989,179,134,106,59.69,13.31,21.98
🦊,1F98A,228,130,74,64.14,32.99,45.77
🦋,1F98B,139,108,67,47.79,7.11,27.43
🦌,1F98C,202,127,95,60.37,26.12,29.2
🦍,1F98D,95,99,101,41.59,-0.93,-1.9
🦎,1F98E,39,169,68,60.93,-55.32,41.81
🦏,1F98F,103,155,166,60.91,-14.41,-11.38
🦐,1F990,252,104,20,62.19,52.98,67.17
🦑,1F991,221,121,169,63.28,44.52,-8.42
🦒,1F992,235,149,40,68.96,24.82,65.53
🦓,1F993,117,118,119,49.54,-0.2,-0.57
🦔,1F994,171,126,108,56.61,15.03,16.17
🦕,1F995,42,176,70,63.27,-57.11,43.64
🦖,1F996,137,148,33,58.5,-18.44,54.94
🦗,1F997,152,118,100,52.4,10.64,14.86
🦘,1F998,195,115,86,56.68,28.61,29.68
🦙,1F999,219,207,199,83.8,2.78,5.56
🦚,1F99A,65,165,104,60.88,-43.29,23.03
🦛,1F99B,159,119,99,53.38,13.28,17.02
🦜,1F99C,134,184,63,69.29,-35.3,54.0
🦝,1F99D,139,140,142,58.21,-0.19,-1.15
🦞,1F99E,250,50,35,54.78,72.07,56.4
🦟,1F99F,116,118,120,49.63,-0.26,-1.33
🦠,1F9A0,83,197,103,71.47,-52.38,37.63
🦡,1F9A1,144,145,145,60.1,-0.31,-0.32
🦢,1F9A2,211,229,237,89.78,-4.42,-5.92
🦣,1F9A3,156,110,91,50.82,15.68,17.83
🦤,1F9A4,146,171,170,68.16,-9.06,-2.15
🦥,1F9A5,169,147,123,62.2,4.78,15.75
🦦,1F9A6,140,102,89,46.79,13.18,13.54
🦧,1F9A7,175,97,66,49.45,28.56,31.42
🦨,1F9A8,121,121,121,50.83,0.14,0.05
🦩,1F9A9,238,115,159,64.09,52.24,-1.27
🦪,1F9AA,198,176,163,73.47,5.66,9.8
🦫,1F9AB,162,124,99,55.1,11.14,19.1
🦬,1F9AC,132,96,83,43.96,12.88,12.83
🦭,1F9AD,187,203,209,80.77,-4.2,-4.87
🦮,1F9AE,228,166,36,72.05,12.39,69.0
🦯,1F9AF,183,161,163,68.13,8.79,1.62
🦰,1F9B0,212,80,12,51.55,49.19,59.13
🦱,1F9B1,82,55,47,26.04,10.48,10.09
🦲,1F9B2,241,184,27,77.87,8.26,76.62
🦳,1F9B3,207,207,207,82.94,-0.0,0.0
🦴,1F9B4,242,219,192,88.72,3.81,16.08
🦵,1F9B5,247,182,27,78.09,11.82,76.97
🦶,1F9B6,247,185,31,78.84,10.41,76.76
🦷,1F9B7,225,232,235,91.47,-1.69,-2.36
🦸,1F9B8,150,95,100,46.49,22.75,6.36
🦹,1F9B9,64,61,107,28.05,13.77,-26.62
🦺,1F9BA,230,157,17,70.19,17.52,72.15
🦻,1F9BB,213,170,68,71.68,5.21,56.47
🦼,1F9BC,117,92,94,41.71,10.53,2.98
🦽,1F9BD,145,110,113,49.82,14.36,3.59
🦾,1F9BE,156,168,172,67.98,-3.13,-3.35
🦿,1F9BF,148,163,169,66.07,-4.27,-4.75
🧀,1F9C0,253,183,32,79.06,14.07,77.07
🧁,1F9C1,202,205,187,81.7,-3.97,8.49
🧂,1F9C2,200,216,220,85.26,-4.74,-3.62
🧃,1F9C3,124,203,128,75.32,-39.73,30.07
🧄,1F9C4,225,202,206,83.36,8.56,0.79
