emoji,hex,r,g,b,l,a_val,b_val
🌚,1F31A,78,122,143,48.84,-9.12,-16.3
🌛,1F31B,248,219,93,87.71,-4.47,63.95
🌜,1F31C,248,219,93,87.71,-4.47,63.95
🌝,1F31D,247,226,122,89.71,-5.95,53.04
🌞,1F31E,247,185,20,78.74,10.58,78.78
🌟,1F31F,253,213,49,86.44,-1.17,78.79
🌠,1F320,100,97,140,42.89,11.6,-23.23
🌡,1F321,193,164,163,69.82,10.39,4.61
🌤,1F324,236,205,130,83.36,1.16,40.85
🌥,1F325,222,222,201,87.83,-3.44,10.08
🌦,1F326,213,212,178,84.18,-5.3,17.13
🌧,1F327,196,223,233,87.1,-6.79,-7.8
🌨,1F328,202,221,232,87.03,-4.03,-7.47
🌩,1F329,221,223,200,88.1,-4.45,10.8
🌪,1F32A,209,221,225,87.34,-3.32,-3.6
🌫,1F32B,223,232,233,91.38,-2.6,-1.62
🌬,1F32C,173,226,253,87.18,-10.78,-18.52
🌭,1F32D,239,160,61,72.14,20.87,60.77
🌮,1F32E,226,188,77,77.74,1.85,59.47
🌯,1F32F,204,180,140,74.47,2.45,23.41
🌰,1F330,133,53,27,33.24,32.84,32.94
🌱,1F331,161,197,70,74.74,-30.19,57.72
🌲,1F332,7,150,54,54.2,-53.93,40.16
🌳,1F333,118,161,44,61.14,-31.99,53.12
🌴,1F334,140,135,53,55.24,-9.31,43.69
🌵,1F335,136,182,40,68.72,-35.38,62.02
🌶,1F336,235,89,32,57.07,54.13,58.62
🌷,1F337,210,146,137,66.67,22.7,14.81
🌸,1F338,251,178,207,80.05,30.93,-3.91
🌹,1F339,184,33,36,40.28,58.09,38.36
🌺,1F33A,203,79,118,51.31,52.43,3.72
🌻,1F33B,201,141,22,62.97,13.56,64.08
🌼,1F33C,251,181,34,78.33,14.22,75.71
🌽,1F33D,170,164,41,65.96,-11.58,60.0
🌾,1F33E,198,172,27,70.68,-4.3,69.0
🌿,1F33F,96,156,34,58.52,-38.93,53.47
🍀,1F340,139,188,44,70.68,-36.74,62.76
🍁,1F341,244,69,24,55.59,64.42,60.82
🍂,1F342,198,105,57,54.48,32.95,42.7
🍃,1F343,140,194,73,72.68,-36.89,53.84
🍄,1F344,247,152,114,71.72,31.99,34.96
🍅,1F345,235,65,44,53.7,63.84,50.3
🍆,1F346,152,90,142,46.77,33.36,-17.93
🍇,1F347,141,90,155,46.09,32.62,-27.14
🍈,1F348,193,214,120,82.1,-21.43,43.88
🍉,1F349,219,144,107,66.72,24.32,31.71
🍊,1F34A,235,142,11,67.34,27.98,71.3
🍋,1F34B,231,183,39,76.6,5.13,72.12
🍌,1F34C,254,202,103,84.13,7.71,55.45
🍍,1F34D,171,162,36,65.51,-10.59,61.25
🍎,1F34E,200,66,58,47.64,52.78,34.65
🍏,1F34F,126,180,61,67.45,-36.53,53.11
🍐,1F350,186,208,37,79.54,-27.29,73.77
🍑,1F351,237,115,67,62.34,43.71,47.98
🍒,1F352,161,62,40,40.01,39.8,33.99
🍓,1F353,214,89,42,53.56,46.73,49.99
🍔,1F354,220,156,54,68.91,14.87,59.65
🍕,1F355,245,159,80,72.68,25.25,53.09
🍖,1F356,229,144,94,67.63,27.4,39.82
🍗,1F357,209,130,96,62.0,26.99,31.13
🍘,1F358,156,108,49,49.42,13.06,39.48
🍙,1F359,179,179,176,72.79,-0.36,1.49
