emoji,hex,r,g,b,l,a_val,b_val
🎨,1F3A8,242,164,89,73.52,21.83,49.46
🎩,1F3A9,69,66,67,28.37,1.0,0.21
🎪,1F3AA,192,42,9,42.57,57.09,52.55
🎫,1F3AB,253,213,79,86.44,0.25,68.34
🎬,1F3AC,66,66,66,27.91,-0.0,0.0
🎭,1F3AD,67,154,221,61.1,-4.31,-41.88
🎮,1F3AE,94,99,104,41.74,-1.12,-3.49
🎯,1F3AF,249,42,39,53.95,73.9,54.13
🎰,1F3B0,120,120,121,50.38,0.18,-0.5
🎱,1F3B1,94,99,103,41.74,-1.03,-2.88
🎲,1F3B2,231,231,231,91.58,-0.02,-0.01
🎳,1F3B3,84,89,92,37.42,-1.06,-2.64
🎴,1F3B4,95,100,104,41.94,-0.95,-2.9
🎵,1F3B5,84,110,122,44.74,-6.35,-9.79
🎶,1F3B6,84,110,122,44.76,-6.41,-9.72
🎷,1F3B7,255,203,41,84.06,4.56,78.96
🎸,1F3B8,239,66,54,54.49,64.71,46.24
🎹,1F3B9,253,253,253,99.31,-0.16,-0.17
🎺,1F3BA,255,205,41,84.53,3.5,79.18
🎻,1F3BB,252,115,70,64.46,49.41,49.02
🎼,1F3BC,84,110,122,44.77,-6.46,-9.7
🎽,1F3BD,87,191,229,72.95,-19.02,-27.89
🎾,1F3BE,25,120,232,51.09,15.76,-63.72
🎿,1F3BF,124,174,199,68.63,-10.37,-17.94
🏀,1F3C0,240,108,50,61.32,47.59,55.08
🏁,1F3C1,65,65,65,27.43,-0.01,-0.01
🏂,1F3C2,221,242,252,94.33,-5.15,-6.88
🏃,1F3C3,105,112,125,46.98,0.42,-8.29
🏄,1F3C4,241,151,22,70.12,25.48,71.75
🏅,1F3C5,250,173,35,76.25,18.43,73.9
🏆,1F3C6,254,184,32,79.29,13.76,77.05
🏇,1F3C7,201,114,79,57.2,30.77,34.21
🏈,1F3C8,156,60,37,38.61,38.48,33.89
🏉,1F3C9,225,127,20,62.7,31.21,65.74
🏊,1F3CA,135,228,248,85.65,-22.33,-18.62
🏋,1F3CB,106,106,114,45.05,1.89,-4.75
🏌,1F3CC,244,138,32,67.66,34.16,67.5
🏍,1F3CD,78,74,72,31.72,1.74,1.47
🏎,1F3CE,233,36,37,50.34,70.84,50.74
🏏,1F3CF,232,135,51,65.42,30.97,58.31
🏐,1F3D0,241,237,236,94.15,1.15,1.11
🏑,1F3D1,227,222,221,88.75,1.71,1.21
🏒,1F3D2,253,165,42,74.86,23.32,70.81
🏓,1F3D3,254,78,40,58.63,64.75,57.94
🏔,1F3D4,239,248,253,97.05,-1.85,-3.37
🏕,1F3D5,237,145,62,68.35,28.29,56.31
🏖,1F3D6,244,188,115,79.77,12.06,44.24
🏗,1F3D7,246,149,29,70.44,28.86,70.51
🏘,1F3D8,244,229,215,91.72,2.68,8.77
🏙,1F3D9,68,117,125,46.25,-14.27,-9.39
🏚,1F3DA,71,47,41,22.06,9.95,8.27
🏛,1F3DB,148,170,188,68.66,-3.84,-11.48
🏜,1F3DC,254,232,182,92.8,0.15,27.12
🏝,1F3DD,125,130,54,52.36,-12.96,39.57
🏞,1F3DE,92,190,217,72.24,-20.89,-22.54
🏟,1F3DF,233,64,44,53.14,63.2,49.83
🏠,1F3E0,206,105,59,55.59,36.43,43.12
🏡,1F3E1,185,209,25,79.48,-28.24,76.16
🏢,1F3E2,198,201,201,80.64,-1.01,-0.62
🏣,1F3E3,218,218,218,86.96,-0.06,0.04
🏤,1F3E4,244,219,172,88.28,2.07,26.26
🏥,1F3E5,94,130,140,52.0,-9.9,-9.76
🏦,1F3E6,204,222,237,87.64,-3.11,-9.43
🏧,1F3E7,34,98,219,44.41,25.46,-67.33
🏨,1F3E8,238,206,166,84.49,5.56,23.77
🏩,1F3E9,250,141,196,71.78,47.62,-10.08
🏪,1F3EA,202,212,212,84.03,-3.23,-1.14
🏫,1F3EB,241,190,106,80.04,8.86,49.05
🏬,1F3EC,119,112,108,47.76,2.11,3.26
🏭,1F3ED,185,184,184,74.91,0.45,0.11
🏮,1F3EE,193,35,31,42.19,59.96,43.51
🏯,1F3EF,64,91,102,37.13,-7.28,-9.03
🏰,1F3F0,165,156,148,65.02,1.8,5.58
🏳,1F3F3,240,236,235,93.72,1.22,1.12
🏴,1F3F4,68,68,68,28.9,-0.0,0.0
🏵,1F3F5,253,98,17,61.24,56.24,67.36
🏷,1F3F7,254,217,158,88.59,5.02,33.78
🏸,1F3F8,185,212,223,83.37,-6.99,-8.11
🏹,1F3F9,151,110,71,49.71,11.73,28.21
🏺,1F3FA,253,131,73,67.73,42.4,51.49
🏻,1F3FB,249,221,188,89.6,4.91,19.82
🏼,1F3FC,223,186,148,77.91,8.01,24.34
🏽,1F3FD,185,140,104,61.76,12.35,26.0
🏾,1F3FE,164,107,67,50.53,18.47,31.78
🏿,1F3FF,111,82,73,37.66,10.69,10.0
🐀,1F400,181,194,200,77.75,-3.47,-4.56
🐁,1F401,224,223,223,88.91,0.15,0.12
🐂,1F402,134,91,82,43.14,16.41,12.38
🐃,1F403,174,174,183,71.21,1.93,-4.96
🐄,1F404,226,224,223,89.21,0.64,0.63
🐅,1F405,250,142,24,69.37,34.0,71.35
🐆,1F406,252,173,7,76.43,18.33,78.93
🐇,1F407,227,227,227,90.17,0.04,-0.06
🐈,1F408,254,181,3,78.62,14.97,81.02
🐉,1F409,6,168,72,60.29,-57.43,39.1
🐊,1F40A,116,136,59,53.59,-19.77,38.5
🐋,1F40B,108,165,175,64.49,-16.05,-11.06
🐌,1F40C,234,188,145,79.23,11.1,27.71
🐍,1F40D,191,209,75,80.19,-23.48,61.86
🐎,1F40E,252,175,95,77.41,20.65,51.4
🐏,1F40F,222,222,222,88.4,0.02,0.07
🐐,1F410,183,137,91,60.49,11.7,31.38
🐑,1F411,254,254,254,99.5,-0.0,0.0
🐒,1F412,186,137,92,60.84,13.13,31.13
🐓,1F413,220,115,84,60.1,38.27,35.72
🐔,1F414,222,221,221,88.3,0.3,0.11
🐕,1F415,253,210,177,87.17,10.53,22.15
🐖,1F416,255,211,178,87.42,10.88,22.08
🐗,1F417,134,91,82,43.05,16.4,12.35
🐘,1F418,191,191,191,77.26,-0.01,0.07
🐙,1F419,254,98,95,62.29,59.11,33.23
🐚,1F41A,226,226,226,90.03,0.0,0.01
🐛,1F41B,183,207,26,78.9,-28.31,75.47
🐜,1F41C,94,99,102,41.7,-1.26,-2.31
🐝,1F41D,249,180,8,77.69,14.05,79.59
🐞,1F41E,244,31,32,52.2,74.58,55.21
🐟,1F41F,45,150,202,58.77,-12.07,-34.72
🐠,1F420,236,211,41,84.27,-7.55,78.3
🐡,1F421,228,153,94,69.43,22.17,41.75
🐢,1F422,190,208,71,79.8,-23.91,62.97
🐣,1F423,255,185,4,79.63,13.17,81.62
🐤,1F424,255,186,3,79.71,13.21,81.83
🐥,1F425,255,186,3,79.73,13.14,81.84
🐦,1F426,54,181,226,68.87,-19.17,-32.36
🐧,1F427,78,78,76,33.04,0.05,0.79
🐨,1F428,176,176,176,71.8,0.21,-0.05
🐩,1F429,224,224,224,89.11,0.01,-0.02
🐪,1F42A,247,177,62,76.98,15.58,65.32
🐫,1F42B,247,177,62,76.89,15.59,65.27
🐬,1F42C,54,181,226,69.01,-19.18,-32.46
🐭,1F42D,177,177,177,72.17,0.23,0.07
🐮,1F42E,253,211,176,87.31,9.72,22.72
🐯,1F42F,249,138,5,68.4,35.42,73.8
🐰,1F430,181,192,198,77.13,-2.83,-4.1
🐱,1F431,253,191,35,80.82,10.39,77.56
🐲,1F432,17,168,71,60.54,-57.1,39.72
🐳,1F433,108,164,174,64.02,-15.91,-11.02
🐴,1F434,251,175,96,77.25,20.41,50.82
🐵,1F435,184,138,92,60.96,11.8,31.62
🐶,1F436,254,234,200,93.38,1.56,18.98
🐷,1F437,255,211,177,87.48,10.44,22.86
🐸,1F438,184,208,25,79.34,-28.52,75.97
🐹,1F439,243,162,91,73.45,23.31,48.83
🐺,1F43A,177,177,177,72.23,-0.0,0.0
🐻,1F43B,133,91,82,43.03,15.96,12.35
🐼,1F43C,253,253,253,99.24,0.0,0.0
🐽,1F43D,255,168,168,77.38,31.77,13.58
🐾,1F43E,23,107,198,45.23,10.69,-54.0
🐿,1F43F,141,97,84,45.34,16.5,14.73
👀,1F440,249,249,249,98.02,-0.03,-0.05
👁,1F441,135,113,98,49.24,6.13,11.38
👂,1F442,254,202,39,83.72,4.71,78.98
👃,1F443,255,202,39,83.67,5.38,78.97
👄,1F444,239,78,143,57.85,66.75,-1.1
👅,1F445,236,76,130,56.71,65.35,5.13
👆,1F446,255,202,40,83.75,5.1,78.95
👇,1F447,255,202,40,83.73,5.19,78.95
👈,1F448,255,202,40,83.73,5.11,78.92
👉,1F449,255,202,40,83.69,5.2,78.93
👊,1F44A,254,201,40,83.59,5.25,78.83
👋,1F44B,255,202,39,83.71,5.15,78.99
👌,1F44C,254,202,40,83.7,4.88,78.89
👍,1F44D,254,202,39,83.63,5.15,78.91
👎,1F44E,254,202,39,83.61,5.12,78.88
👏,1F44F,255,202,40,83.73,5.09,78.98
👐,1F450,254,202,39,83.71,4.94,79.13
👑,1F451,254,203,42,83.84,4.57,78.54
👒,1F452,250,217,128,87.78,0.07,48.01
👓,1F453,144,204,248,79.44,-7.89,-28.09
👔,1F454,187,227,253,88.28,-7.42,-16.59
👕,1F455,184,229,235,87.98,-13.22,-7.74
👖,1F456,24,79,163,34.73,15.28,-50.38
👗,1F457,21,101,192,43.11,12.07,-54.05
👘,1F458,249,165,201,76.89,35.72,-5.21
👙,1F459,218,44,44,48.2,65.02,43.68
👚,1F45A,207,177,235,76.49,21.7,-24.74
👛,1F45B,252,101,152,63.53,62.07,2.67
👜,1F45C,161,94,57,46.8,23.88,32.72
👝,1F45D,255,193,8,81.49,9.38,82.62
👞,1F45E,161,104,65,49.42,18.48,31.13
👟,1F45F,7,120,188,48.43,-2.1,-43.43
👠,1F460,244,67,54,55.73,66.01,47.63
👡,1F461,253,198,126,83.32,11.01,43.62
👢,1F462,223,116,65,60.36,37.85,46.26
👣,1F463,23,107,198,45.28,10.66,-54.0
👤,1F464,70,105,140,43.35,-2.34,-23.02
👥,1F465,25,118,210,49.3,8.48,-54.53
👦,1F466,254,203,40,83.8,4.47,78.96
👧,1F467,85,59,51,27.45,10.26,9.66
👨,1F468,254,203,40,83.84,4.48,78.95
👩,1F469,84,58,50,27.13,10.41,9.67
👪,1F46A,227,227,227,90.13,-0.0,0.0
👫,1F46B,111,99,93,43.02,3.64,5.51
👬,1F46C,247,196,36,81.35,4.89,77.56
👭,1F46D,126,13,239,39.53,78.13,-86.51
👮,1F46E,244,192,37,80.38,5.6,76.53
👯,1F46F,78,69,65,29.89,3.08,3.52
👰,1F470,226,225,225,89.64,0.18,0.27
👱,1F471,255,229,65,90.56,-7.54,77.75
👲,1F472,91,77,70,33.9,4.98,6.11
👳,1F473,222,222,222,88.32,-0.01,-0.01
👴,1F474,254,202,40,83.69,4.79,78.73
👵,1F475,253,201,40,83.43,4.7,78.48
👶,1F476,255,203,40,83.9,4.74,79.0
👷,1F477,254,223,15,88.9,-6.08,87.23
👸,1F478,253,201,43,83.2,5.04,77.56
👹,1F479,218,65,54,50.71,58.76,41.16
👺,1F47A,242,71,57,55.71,64.01,45.91
👻,1F47B,226,226,227,90.05,-0.02,-0.02
👼,1F47C,95,68,56,31.59,9.91,11.89
👽,1F47D,174,189,196,75.72,-3.77,-5.36
👾,1F47E,180,114,194,57.74,38.97,-31.28
👿,1F47F,231,8,233,55.08,90.83,-57.14
💀,1F480,221,230,233,90.65,-1.99,-2.81
💁,1F481,90,62,53,29.14,10.76,10.48
💂,1F482,72,74,76,31.44,-0.63,-1.16
💃,1F483,165,31,2,35.89,52.04,48.34
💄,1F484,205,50,43,46.16,59.46,41.62
💅,1F485,252,193,31,81.21,8.78,78.79
💆,1F486,253,202,38,83.58,4.33,79.2
💇,1F487,92,64,53,29.82,10.66,11.53
💈,1F488,213,220,222,87.4,-2.11,-1.61
💉,1F489,193,231,237,89.31,-11.35,-6.92
💊,1F48A,243,68,54,55.51,65.35,47.27
💋,1F48B,229,57,53,51.63,64.75,43.26
💌,1F48C,254,254,255,99.79,-0.02,-0.14
💍,1F48D,191,192,192,77.51,-0.22,-0.2
💎,1F48E,179,231,251,88.7,-11.84,-15.05
💏,1F48F,252,201,40,83.27,4.48,78.47
💐,1F490,149,164,34,64.23,-21.33,60.09
💑,1F491,92,75,51,33.03,3.37,16.83
💒,1F492,240,110,158,63.55,54.88,-1.35
💓,1F493,239,85,146,59.03,64.09,-1.11
💔,1F494,244,67,54,55.68,66.09,47.7
💕,1F495,239,85,146,58.86,64.11,-1.07
💖,1F496,240,89,147,59.63,62.75,-0.59
💗,1F497,230,59,125,53.48,68.89,3.19
💘,1F498,241,93,150,60.5,61.6,-0.96
💙,1F499,25,118,210,49.4,8.45,-54.54
💚,1F49A,124,179,66,67.3,-36.64,50.56
💛,1F49B,255,205,50,84.44,4.22,76.67
💜,1F49C,171,71,188,48.04,57.44,-43.36
💝,1F49D,240,91,147,59.95,62.07,-0.23
💞,1F49E,240,85,146,59.06,64.19,-1.1
💟,1F49F,171,71,188,47.9,57.4,-43.35
💠,1F4A0,8,187,237,70.66,-21.46,-35.95
💡,1F4A1,250,208,5,84.7,-0.68,84.85
💢,1F4A2,243,67,54,55.47,65.94,47.68
💣,1F4A3,77,77,77,32.57,0.0,0.02
💤,1F4A4,23,107,198,45.23,10.72,-54.04
💥,1F4A5,254,160,6,73.83,26.05,77.51
💦,1F4A6,79,195,247,74.48,-16.73,-35.16
💧,1F4A7,78,193,245,73.78,-16.41,-35.18
💨,1F4A8,213,235,245,91.81,-5.34,-7.34
💩,1F4A9,136,87,66,42.07,17.66,20.49
💪,1F4AA,255,202,40,83.67,5.17,78.92
💫,1F4AB,253,219,53,87.93,-3.82,78.76
💬,1F4AC,254,254,254,99.62,-0.02,-0.02
💭,1F4AD,254,254,254,99.71,-0.0,0.0
💮,1F4AE,255,254,254,99.73,0.39,-0.03
💯,1F4AF,243,67,54,55.41,65.91,47.68
💰,1F4B0,255,203,40,84.01,4.5,79.11
💱,1F4B1,97,99,102,41.85,-0.15,-2.01
💲,1F4B2,3,172,71,61.49,-58.82,40.74
💳,1F4B3,255,194,8,81.77,8.7,82.75
💴,1F4B4,248,187,98,79.89,12.43,52.96
💵,1F4B5,103,187,106,69.05,-42.42,33.28
💶,1F4B6,42,183,247,70.09,-14.37,-41.83
💷,1F4B7,181,158,218,69.05,20.01,-27.42
💸,1F4B8,101,186,105,68.62,-42.42,33.19
💹,1F4B9,124,179,66,67.28,-36.56,50.5
💺,1F4BA,6,85,180,37.6,16.52,-55.67
💻,1F4BB,61,79,84,32.44,-6.17,-4.98
💼,1F4BC,122,68,44,34.93,20.71,24.41
💽,1F4BD,181,227,232,87.16,-13.6,-7.51
💾,1F4BE,241,242,242,95.31,-0.12,-0.18
💿,1F4BF,180,227,232,87.12,-13.72,-7.73
📀,1F4C0,248,211,115,85.89,1.41,51.93
📁,1F4C1,255,227,108,90.53,-4.44,60.53
📂,1F4C2,255,227,108,90.55,-4.49,60.42
📃,1F4C3,253,253,254,99.42,-0.2,-0.44
📄,1F4C4,254,254,254,99.65,-0.12,-0.23
📅,1F4C5,249,247,247,97.43,0.43,0.23
📆,1F4C6,249,248,248,97.58,0.22,0.1
📇,1F4C7,184,226,233,87.18,-12.15,-7.85
📈,1F4C8,254,254,254,99.53,-0.02,-0.09
📉,1F4C9,253,254,254,99.53,-0.09,-0.15
📊,1F4CA,250,251,252,98.57,-0.34,-0.62
📋,1F4CB,253,254,253,99.5,-0.05,0.03
📌,1F4CC,245,68,55,55.88,66.06,47.73
📍,1F4CD,245,68,54,55.92,66.13,47.83
📎,1F4CE,133,178,196,70.01,-10.49,-14.14
📏,1F4CF,167,207,214,80.66,-11.76,-7.77
📐,1F4D0,165,206,213,80.04,-11.87,-7.92
📑,1F4D1,253,254,254,99.53,-0.1,-0.15
📒,1F4D2,252,201,42,83.29,4.72,77.9
📓,1F4D3,98,98,98,41.59,-0.22,-0.19
📔,1F4D4,233,176,87,75.56,11.7,52.75
📕,1F4D5,236,65,54,53.98,64.43,45.54
📖,1F4D6,240,241,242,95.2,-0.44,-0.42
📗,1F4D7,154,202,102,76.06,-32.35,44.37
📘,1F4D8,1,145,233,58.13,0.23,-53.46
📙,1F4D9,255,159,18,73.62,27.0,75.74
📚,1F4DA,195,222,227,86.6,-7.78,-5.59
📛,1F4DB,244,68,55,55.81,65.76,47.26
📜,1F4DC,254,218,164,88.78,5.31,31.16
📝,1F4DD,249,251,250,98.28,-0.81,0.17
📞,1F4DE,66,66,66,28.11,-0.0,0.0
📟,1F4DF,79,77,77,33.09,0.74,0.45
📠,1F4E0,58,58,58,24.33,-0.16,0.18
📡,1F4E1,229,230,230,91.15,-0.15,-0.15
📢,1F4E2,231,230,230,91.46,0.13,0.06
📣,1F4E3,236,69,51,54.35,62.51,47.35
📤,1F4E4,243,163,97,73.49,23.41,45.88
📥,1F4E5,243,163,97,73.49,23.4,45.88
📦,1F4E6,180,131,82,58.42,13.21,33.56
📧,1F4E7,254,254,255,99.72,-0.13,-0.34
📨,1F4E8,253,254,255,99.67,-0.21,-0.42
📩,1F4E9,254,254,255,99.79,-0.12,-0.26
📪,1F4EA,25,118,210,49.22,8.47,-54.43
📫,1F4EB,25,117,209,49.01,8.59,-54.41
📬,1F4EC,38,133,215,54.03,2.34,-49.64
📭,1F4ED,26,118,209,49.14,8.34,-54.19
📮,1F4EE,245,73,59,56.54,64.17,45.92
📯,1F4EF,228,167,17,72.35,11.36,73.67
📰,1F4F0,238,238,238,94.1,-0.0,0.0
📱,1F4F1,79,83,83,34.98,-1.59,-0.52
📲,1F4F2,98,89,76,38.14,1.31,8.74
📳,1F4F3,183,189,198,76.47,-0.61,-4.92
📴,1F4F4,254,148,1,71.07,32.24,76.28
📵,1F4F5,66,62,63,26.49,2.27,-0.3
📶,1F4F6,254,148,1,71.13,32.09,76.28
📷,1F4F7,178,193,198,77.04,-3.9,-4.15
📸,1F4F8,175,191,197,76.27,-4.17,-5.1
📹,1F4F9,84,110,122,44.88,-6.38,-9.74
📺,1F4FA,49,121,137,47.04,-16.79,-15.74
📻,1F4FB,253,171,3,76.24,19.94,79.39
📼,1F4FC,85,84,84,36.01,0.37,0.13
📽,1F4FD,101,113,119,46.98,-3.38,-4.65
📿,1F4FF,209,91,64,53.38,45.09,38.06
🔀,1F500,254,148,1,70.94,32.41,76.21
🔁,1F501,254,148,1,70.93,32.4,76.12
🔂,1F502,254,148,1,70.92,32.41,76.1
🔃,1F503,139,175,191,69.3,-8.23,-12.08
🔄,1F504,139,174,190,69.22,-8.22,-12.12
🔅,1F505,255,168,36,75.67,22.86,73.28
🔆,1F506,255,167,36,75.56,23.06,73.28
🔇,1F507,65,60,61,25.72,2.45,-0.23
🔈,1F508,75,112,126,45.02,-9.17,-11.76
🔉,1F509,75,112,126,45.02,-9.17,-11.76
🔊,1F50A,181,205,216,81.06,-5.82,-8.12
🔋,1F50B,143,207,72,76.77,-41.6,58.55
🔌,1F50C,97,97,97,41.31,-0.0,0.0
🔍,1F50D,130,212,249,81.04,-15.15,-26.14
🔎,1F50E,130,212,249,81.03,-15.1,-26.12
🔏,1F50F,223,165,17,71.26,10.73,72.63
🔐,1F510,225,166,17,71.75,10.91,73.08
🔑,1F511,255,203,40,83.97,4.6,78.94
🔒,1F512,225,165,16,71.66,11.08,73.1
🔓,1F513,226,166,16,71.85,11.03,73.25
🔔,1F514,254,203,41,84.02,4.23,78.84
🔕,1F515,68,61,60,26.25,2.78,1.73
🔖,1F516,245,67,54,55.8,66.2,47.85
🔗,1F517,132,176,193,69.28,-10.63,-13.49
🔘,1F518,177,177,177,72.21,0.01,-0.0
🔙,1F519,140,175,191,69.36,-8.2,-12.06
🔚,1F51A,139,175,191,69.33,-8.21,-12.08
🔛,1F51B,139,175,191,69.3,-8.21,-12.08
🔜,1F51C,139,175,191,69.29,-8.21,-12.09
🔝,1F51D,139,175,191,69.33,-8.2,-12.08
🔞,1F51E,64,60,61,25.66,2.44,-0.21
🔟,1F51F,140,175,191,69.5,-8.17,-12.06
🔠,1F520,140,175,191,69.35,-8.19,-12.06
🔡,1F521,139,175,191,69.32,-8.21,-12.07
🔢,1F522,139,175,191,69.32,-8.21,-12.08
🔣,1F523,139,175,191,69.29,-8.21,-12.09
🔤,1F524,139,175,191,69.29,-8.2,-12.09
🔥,1F525,255,121,2,65.7,46.08,72.85
🔦,1F526,49,123,140,47.93,-17.22,-16.05
🔧,1F527,131,176,194,69.26,-10.41,-14.0
🔨,1F528,159,103,65,48.81,18.16,30.66
🔩,1F529,129,174,192,68.45,-10.68,-13.98
🔪,1F52A,225,225,225,89.42,-0.0,-0.0
🔫,1F52B,252,133,5,67.65,39.29,73.46
🔬,1F52C,131,174,191,68.58,-10.21,-13.44
🔭,1F52D,136,176,191,69.43,-9.72,-12.37
🔮,1F52E,159,138,216,62.04,24.79,-37.26
🔯,1F52F,171,71,188,48.07,57.2,-43.21
🔰,1F530,39,167,154,61.91,-36.22,-3.3
🔱,1F531,255,203,40,84.07,4.42,79.05
🔲,1F532,66,66,66,28.1,-0.0,0.0
🔳,1F533,224,224,224,89.24,-0.0,0.0
🔴,1F534,244,67,54,55.58,66.0,47.63
🔵,1F535,25,118,210,49.32,8.47,-54.51
🔶,1F536,255,152,0,72.07,30.58,77.09
🔷,1F537,33,150,243,60.37,2.15,-55.16
🔸,1F538,255,153,1,72.15,30.35,77.03
🔹,1F539,33,150,242,60.26,2.14,-55.06
🔺,1F53A,244,67,54,55.72,66.06,47.7
🔻,1F53B,245,67,54,55.74,66.13,47.75
🔼,1F53C,255,152,1,72.03,30.67,77.01
🔽,1F53D,255,152,0,72.0,30.72,77.01
🕉,1F549,171,71,188,47.89,57.4,-43.35
🕊,1F54A,225,225,224,89.37,-0.01,0.06
🕋,1F54B,111,114,116,47.86,-0.89,-1.56
🕌,1F54C,251,218,165,88.66,3.93,30.29
🕍,1F54D,129,91,82,42.56,14.33,11.47
🕎,1F54E,171,72,188,48.28,56.83,-43.01
🕐,1F550,254,254,252,99.59,-0.05,0.7
🕑,1F551,254,254,252,99.58,-0.05,0.7
🕒,1F552,254,254,252,99.57,-0.06,0.71
🕓,1F553,254,254,252,99.57,-0.05,0.7
🕔,1F554,254,254,252,99.57,-0.05,0.7
🕕,1F555,254,254,252,99.57,-0.06,0.71
🕖,1F556,254,254,252,99.57,-0.05,0.71
🕗,1F557,254,254,252,99.57,-0.05,0.7
🕘,1F558,254,254,252,99.57,-0.06,0.71
🕙,1F559,254,254,252,99.58,-0.05,0.7
🕚,1F55A,254,254,252,99.58,-0.05,0.7
🕛,1F55B,254,254,253,99.63,-0.06,0.7
🕜,1F55C,254,254,252,99.57,-0.05,0.7
🕝,1F55D,254,254,252,99.57,-0.05,0.71
🕞,1F55E,254,254,252,99.57,-0.05,0.71
🕟,1F55F,254,254,252,99.58,-0.05,0.7
🕠,1F560,254,254,252,99.6,-0.05,0.7
🕡,1F561,254,254,252,99.6,-0.05,0.7
🕢,1F562,254,254,252,99.59,-0.06,0.7
🕣,1F563,254,254,252,99.57,-0.05,0.71
🕤,1F564,254,254,252,99.58,-0.05,0.71
🕥,1F565,254,254,252,99.57,-0.05,0.7
🕦,1F566,254,254,252,99.57,-0.05,0.71
🕧,1F567,254,254,252,99.58,-0.05,0.71
🕯,1F56F,201,208,212,83.08,-1.71,-2.54
🕰,1F570,149,96,58,45.6,17.81,29.96
🕳,1F573,175,175,175,71.37,-0.0,0.0
🕴,1F574,93,89,87,38.2,0.8,1.72
🕵,1F575,82,76,74,32.77,2.18,2.04
🕶,1F576,98,99,99,41.76,-0.17,-0.22
🕷,1F577,98,102,106,42.95,-0.67,-2.74
🕸,1F578,96,101,105,42.5,-1.08,-2.98
🕹,1F579,111,116,119,48.61,-1.37,-2.1
🕺,1F57A,188,236,245,90.39,-13.3,-9.36
🖇,1F587,130,180,198,70.4,-11.85,-14.29
🖊,1F58A,21,98,189,42.1,12.88,-54.14
🖋,1F58B,67,67,66,28.24,-0.08,0.06
🖌,1F58C,21,102,194,43.7,12.06,-54.45
🖍,1F58D,239,82,79,57.13,59.88,35.43
🖐,1F590,255,202,39,83.67,5.19,78.98
🖕,1F595,250,168,1,75.12,20.31,78.72
🖖,1F596,254,202,39,83.62,5.18,78.9
🖤,1F5A4,66,66,66,28.0,-0.0,0.0
🖥,1F5A5,64,68,69,28.64,-1.45,-1.1
🖨,1F5A8,147,166,174,66.83,-4.79,-6.35
🖱,1F5B1,224,224,224,89.13,-0.0,0.0
🖲,1F5B2,64,63,63,26.82,0.23,0.1
🖼,1F5BC,232,156,40,70.15,19.83,66.41
🗂,1F5C2,255,227,108,90.51,-4.39,60.55
🗃,1F5C3,55,71,79,29.21,-4.17,-6.8
🗄,1F5C4,55,71,79,29.0,-4.16,-6.88
🗑,1F5D1,132,179,196,70.17,-11.03,-14.03
🗒,1F5D2,247,246,245,96.89,0.2,0.33
🗓,1F5D3,218,239,247,93.12,-4.97,-6.42
🗜,1F5DC,132,177,195,69.55,-10.51,-13.99
🗝,1F5DD,146,167,178,67.14,-4.77,-8.19
🗞,1F5DE,206,205,205,82.46,0.13,0.27
🗡,1F5E1,211,233,235,90.85,-6.89,-3.64
🗣,1F5E3,25,118,210,49.28,8.5,-54.53
🗨,1F5E8,254,254,254,99.82,-0.0,0.0
🗯,1F5EF,254,254,254,99.66,-0.0,0.0
🗳,1F5F3,13,71,159,32.0,18.24,-52.56
🗺,1F5FA,205,216,197,85.09,-7.33,8.14
🗻,1F5FB,229,237,241,93.37,-1.95,-2.68
🗼,1F5FC,210,49,3,46.84,60.53,58.44
🗽,1F5FD,74,164,145,61.78,-31.8,1.81
🗾,1F5FE,31,135,253,56.81,14.55,-66.25
🗿,1F5FF,194,182,183,75.16,4.11,1.39
🚀,1F680,189,49,43,43.12,54.82,37.64
🚁,1F681,254,209,24,85.29,1.26,83.36
🚂,1F682,62,92,89,36.79,-11.78,-1.52
🚃,1F683,249,236,181,93.3,-3.92,28.32
🚄,1F684,220,225,227,89.14,-1.2,-1.71
🚅,1F685,225,226,226,89.75,-0.3,-0.44
🚆,1F686,39,123,181,49.31,-4.07,-38.04
🚇,1F687,74,88,96,36.6,-3.53,-6.62
🚈,1F688,214,225,232,89.01,-2.36,-4.6
🚉,1F689,167,181,187,72.79,-3.71,-4.65
🚊,1F68A,167,185,192,73.98,-4.58,-5.88
🚋,1F68B,242,192,37,79.96,4.62,76.07
🚌,1F68C,84,86,87,36.44,-0.81,-0.75
🚍,1F68D,198,219,220,85.85,-6.55,-3.01
🚎,1F68E,203,222,231,87.43,-4.58,-6.55
🚏,1F68F,149,156,159,63.95,-2.08,-2.26
🚐,1F690,226,226,225,89.91,-0.06,0.33
🚑,1F691,218,220,220,87.58,-0.77,-0.13
🚒,1F692,245,41,38,53.12,73.13,53.52
🚓,1F693,68,68,69,29.0,-0.01,-0.67
🚔,1F694,66,68,70,28.94,-0.44,-1.49
🚕,1F695,247,206,31,84.01,-0.6,80.76
🚖,1F696,249,201,34,82.89,3.3,79.38
🚗,1F697,226,19,23,47.97,71.63,54.65
🚘,1F698,234,25,30,49.91,72.93,53.66
🚙,1F699,49,145,248,59.57,8.21,-59.2
🚚,1F69A,232,152,49,69.45,21.77,62.59
🚛,1F69B,211,215,217,85.81,-1.28,-1.18
🚜,1F69C,85,83,82,35.55,0.56,1.06
🚝,1F69D,214,223,229,88.26,-1.58,-4.31
🚞,1F69E,154,190,203,74.89,-9.08,-10.61
🚟,1F69F,230,180,33,75.84,6.01,73.18
