emoji,hex,r,g,b,l,a_val,b_val
♎,264E,102,187,106,69.05,-42.58,33.14
♏,264F,38,166,154,61.71,-36.03,-3.48
♐,2650,25,118,210,49.22,8.52,-54.49
♑,2651,126,87,194,45.7,39.43,-50.73
♒,2652,171,71,188,47.92,57.38,-43.41
♓,2653,236,64,122,54.93,68.57,7.3
♟,265F,95,100,104,42.22,-1.05,-2.88
♠,2660,70,76,79,31.87,-1.72,-2.61
♣,2663,70,76,79,31.87,-1.72,-2.61
♥,2665,255,38,46,54.91,76.43,51.78
♦,2666,255,34,45,54.65,77.13,52.04
♨,2668,245,67,54,55.82,66.21,47.77
♻,267B,126,181,67,68.0,-36.87,50.93
♾,267E,171,71,188,47.98,57.41,-43.35
♿,267F,34,98,221,44.7,26.03,-68.17
⚒,2692,156,101,64,47.97,17.87,30.15
⚓,2693,132,177,195,69.53,-10.49,-14.06
⚔,2694,198,225,230,87.85,-8.2,-5.14
⚕,2695,119,85,188,44.27,37.65,-49.87
⚖,2696,77,138,156,54.08,-14.18,-16.12
⚗,2697,131,205,237,78.72,-14.29,-23.36
⚙,2699,130,174,192,68.63,-10.35,-13.96
⚛,269B,171,71,188,47.96,57.45,-43.38
⚜,269C,255,198,22,82.64,7.06,81.65
⚠,26A0,254,204,50,84.37,4.06,76.62
⚡,26A1,255,202,39,83.71,5.36,79.22
⚧,26A7,255,168,38,75.71,22.82,72.97
⚪,26AA,224,224,224,89.2,-0.0,0.0
⚫,26AB,66,66,66,27.97,-0.0,0.0
⚰,26B0,199,124,93,59.39,25.65,29.39
⚱,26B1,244,172,72,75.49,17.48,59.9
⚽,26BD,253,253,253,99.46,-0.0,-0.01
⚾,26BE,241,238,237,94.28,1.05,0.83
⛄,26C4,225,225,225,89.43,0.01,0.08
⛅,26C5,226,235,238,92.61,-2.47,-2.52
⛈,26C8,228,235,239,92.56,-1.52,-2.84
⛎,26CE,1,188,212,69.95,-30.65,-23.14
⛏,26CF,162,105,66,49.7,18.42,31.12
⛑,26D1,238,64,52,54.17,65.37,46.75
⛓,26D3,135,179,197,70.54,-10.66,-13.67
⛔,26D4,244,68,55,55.66,65.82,47.37
⛩,26E9,238,41,1,51.64,70.71,64.28
⛪,26EA,238,233,232,92.69,1.27,1.07
⛰,26F0,196,196,196,79.0,-0.02,-0.02
⛱,26F1,245,187,112,79.61,12.59,45.83
⛲,26F2,166,229,251,87.64,-14.9,-16.65
⛳,26F3,146,163,30,63.77,-22.39,60.72
⛴,26F4,36,106,157,43.04,-3.77,-33.57
⛵,26F5,169,209,219,81.45,-11.07,-8.93
⛷,26F7,224,244,252,94.93,-4.94,-6.08
⛸,26F8,215,205,202,83.18,2.85,3.07
⛹,26F9,250,188,20,79.78,9.87,79.64
⛺,26FA,242,159,64,72.29,22.81,59.77
⛽,26FD,243,69,56,55.57,65.08,46.61
✂,2702,227,66,52,52.44,61.16,44.56
✅,2705,124,179,66,67.29,-36.56,50.48
✈,2708,1,105,170,42.83,-0.4,-41.72
✉,2709,254,255,255,99.88,-0.08,-0.16
✊,270A,254,202,40,83.64,5.15,78.86
✋,270B,254,202,40,83.68,5.08,78.94
✌,270C,254,201,39,83.51,5.21,78.86
✍,270D,254,202,40,83.66,4.98,78.85
✏,270F,252,186,22,79.59,11.51,79.23
✒,2712,139,186,202,72.8,-11.58,-13.2
✔,2714,84,109,122,44.53,-5.82,-10.23
✖,2716,97,98,102,41.74,0.46,-2.41
✝,271D,171,71,188,47.96,57.44,-43.36
✡,2721,171,71,188,48.13,57.25,-43.25
✨,2728,253,216,52,87.13,-2.5,78.32
✳,2733,124,179,66,67.14,-36.62,50.5
✴,2734,255,153,0,72.31,30.04,77.24
❄,2744,151,202,239,78.94,-7.5,-23.56
❇,2747,124,179,66,67.34,-36.69,50.64
❌,274C,245,67,54,55.74,66.16,47.76
❎,274E,125,179,67,67.36,-36.49,50.39
❓,2753,246,68,55,55.98,66.21,47.77
❔,2754,224,224,224,89.35,-0.0,0.0
❕,2755,224,224,224,89.11,-0.0,0.0
❗,2757,245,67,54,55.8,66.23,47.8
❣,2763,244,67,54,55.67,66.07,47.67
❤,2764,244,67,54,55.63,66.05,47.68
➕,2795,97,98,102,41.77,0.47,-2.41
➖,2796,97,98,102,41.63,0.42,-2.41
➗,2797,96,98,101,41.54,-0.14,-1.99
➡,27A1,141,176,192,69.96,-8.17,-11.97
➰,27B0,96,98,101,41.55,-0.16,-1.99
➿,27BF,96,99,102,41.69,-0.16,-1.99
⌚,231A,253,252,250,99.08,-0.03,1.11
⌛,231B,138,210,244,80.88,-14.04,-23.68
⏩,23E9,254,149,0,71.18,32.06,76.44
⏪,23EA,255,152,0,72.03,30.67,77.02
⏫,23EB,255,152,1,72.08,30.56,77.0
⏬,23EC,255,152,1,72.09,30.55,76.99
⏭,23ED,254,148,0,71.1,32.21,76.36
⏮,23EE,254,148,1,71.08,32.24,76.35
⏯,23EF,254,148,1,71.12,32.18,76.37
⏰,23F0,249,248,248,97.72,0.36,0.3
⏱,23F1,250,250,250,98.24,-0.01,-0.0
⏲,23F2,193,228,234,88.45,-10.47,-6.37
⏳,23F3,139,209,240,80.37,-14.14,-22.18
⏸,23F8,255,152,0,72.04,30.65,77.03
⏹,23F9,255,152,1,72.08,30.57,77.02
⏺,23FA,255,152,0,72.05,30.62,77.04
▪,25AA,66,66,66,27.86,-0.0,0.0
▫,25AB,225,225,225,89.4,-0.0,0.0
▶,25B6,255,152,0,72.04,30.65,77.05
◀,25C0,255,152,0,72.06,30.62,77.05
◻,25FB,224,224,224,89.23,-0.0,0.0
◼,25FC,66,66,66,27.97,-0.0,0.0
◽,25FD,224,224,224,89.33,-0.0,0.0
◾,25FE,66,66,66,27.88,-0.0,0.0
⤴,2934,140,175,191,69.46,-8.2,-12.07
⤵,2935,140,175,191,69.46,-8.2,-12.07
⬅,2B05,141,176,192,69.96,-8.17,-11.97
⬆,2B06,141,176,192,69.96,-8.18,-11.97
⬇,2B07,141,176,192,69.96,-8.18,-11.97
⬛,2B1B,66,66,66,27.96,-0.0,0.0
⬜,2B1C,224,224,224,89.24,-0.0,0.0
⭐,2B50,253,216,53,87.13,-2.45,78.21
⭕,2B55,244,67,54,55.69,66.05,47.66
〰,3030,96,98,101,41.65,-0.16,-1.99
〽,303D,255,205,50,84.5,4.0,76.83
㊗,3297,237,63,53,53.95,65.17,46.24
㊙,3299,237,64,53,53.94,65.08,46.11
🇺🇸,1F1FA-1F1F8,193,39,55,42.84,59.78,30.57
🇮🇳,1F1EE-1F1F3,230,230,231,91.32,0.33,-0.34
🇬🇧,1F1EC-1F1E7,192,40,59,42.87,59.52,28.18
🇩🇪,1F1E9-1F1EA,232,23,21,49.34,72.67,56.77
🇫🇷,1F1EB-1F1F7,211,62,55,49.09,57.62,38.67
🇯🇵,1F1EF-1F1F5,215,214,214,85.66,0.24,0.0
🇨🇳,1F1E8-1F1F3,204,55,69,46.97,58.85,27.58
🇰🇷,1F1F0-1F1F7,228,228,228,90.48,0.12,-0.05
🇨🇦,1F1E8-1F1E6,211,9,9,44.32,68.71,55.58
🇦🇺,1F1E6-1F1FA,12,44,109,20.0,16.2,-41.12
🇧🇷,1F1E7-1F1F7,16,147,85,53.67,-47.31,23.64
🇮🇹,1F1EE-1F1F9,177,49,58,40.99,51.78,25.25
🇪🇸,1F1EA-1F1F8,135,30,32,29.94,43.88,26.2
🇲🇽,1F1F2-1F1FD,171,30,52,37.51,55.57,24.7
🇷🇺,1F1F7-1F1FA,23,69,159,31.57,20.16,-52.95
🇳🇬,1F1F3-1F1EC,13,120,77,44.17,-38.58,15.54
